Searching for text files...
Found 50000 files. Starting processing...

Word count results:
Worker-7 -> file10002.txt: 1872 slow
Worker-8 -> file10003.txt: 1137 slow
Worker-6 -> file10001.txt: 4132 slow
Worker-1 -> file1.txt: 3526 slow
Worker-2 -> file10.txt: 9702 slow
Worker-6 -> file10006.txt: 4223 slow
Worker-4 -> file10000.txt: 1844 slow
Worker-2 -> file10008.txt: 1196 slow
Worker-4 -> file1001.txt: 1704 slow
Worker-6 -> file10009.txt: 2036 slow
Worker-7 -> file10004.txt: 6830 slow
Worker-1 -> file10007.txt: 6392 slow
Worker-6 -> file10012.txt: 1324 slow
Worker-3 -> file100.txt: 7897 slow
Worker-5 -> file1000.txt: 9047 slow
Worker-2 -> file10010.txt: 4520 slow
Worker-8 -> file10005.txt: 7356 slow
Worker-6 -> file10015.txt: 3122 slow
Worker-5 -> file10017.txt: 3428 slow
Worker-1 -> file10014.txt: 5197 slow
Worker-3 -> file10016.txt: 5256 slow
Worker-7 -> file10013.txt: 6037 slow
Worker-6 -> file1002.txt: 5066 slow
Worker-4 -> file10011.txt: 7866 slow
Worker-8 -> file10019.txt: 5212 slow
Worker-7 -> file10023.txt: 1704 slow
Worker-2 -> file10018.txt: 5214 slow
Worker-5 -> file10020.txt: 3697 slow
Worker-7 -> file10027.txt: 3632 slow
Worker-4 -> file10025.txt: 6239 slow
Worker-6 -> file10024.txt: 8960 slow
Worker-8 -> file10026.txt: 5860 slow
Worker-1 -> file10021.txt: 9515 slow
Worker-7 -> file1003.txt: 3901 slow
Worker-5 -> file10029.txt: 7690 slow
Worker-2 -> file10028.txt: 9826 slow
Worker-6 -> file10031.txt: 6110 slow
Worker-8 -> file10032.txt: 4845 slow
Worker-1 -> file10033.txt: 5116 slow
Worker-4 -> file10030.txt: 8794 slow
Worker-8 -> file10038.txt: 2383 slow
Worker-2 -> file10036.txt: 3363 slow
Worker-6 -> file10037.txt: 5120 slow
Worker-3 -> file10022.txt: 7837 slow
Worker-8 -> file10040.txt: 1753 slow
Worker-2 -> file10041.txt: 2102 slow
Worker-7 -> file10034.txt: 8332 slow
Worker-4 -> file1004.txt: 3690 slow
Worker-6 -> file10042.txt: 3966 slow
Worker-1 -> file10039.txt: 6278 slow
Worker-5 -> file10035.txt: 9785 slow
Worker-4 -> file10047.txt: 3994 slow
Worker-1 -> file10049.txt: 2000 slow
Worker-8 -> file10044.txt: 5328 slow
Worker-6 -> file10048.txt: 6016 slow
Worker-4 -> file10050.txt: 2579 slow
Worker-3 -> file10043.txt: 9723 slow
Worker-8 -> file10052.txt: 2855 slow
Worker-4 -> file10054.txt: 1153 slow
Worker-1 -> file10051.txt: 3533 slow
Worker-7 -> file10046.txt: 8749 slow
Worker-2 -> file10045.txt: 9726 slow
Worker-8 -> file10056.txt: 1587 slow
Worker-3 -> file10055.txt: 2533 slow
Worker-1 -> file10058.txt: 2057 slow
Worker-5 -> file1005.txt: 9023 slow
Worker-6 -> file10053.txt: 9787 slow
Worker-1 -> file10062.txt: 3877 slow
Worker-2 -> file1006.txt: 5372 slow
Worker-3 -> file10061.txt: 4984 slow
Worker-7 -> file10059.txt: 7219 slow
Worker-3 -> file10067.txt: 1191 slow
Worker-6 -> file10064.txt: 4910 slow
Worker-4 -> file10057.txt: 8722 slow
Worker-7 -> file10068.txt: 1741 slow
Worker-8 -> file10060.txt: 9021 slow
Worker-2 -> file10066.txt: 4847 slow
Worker-4 -> file10070.txt: 3324 slow
Worker-6 -> file1007.txt: 7557 slow
Worker-7 -> file10071.txt: 4485 slow
Worker-5 -> file10063.txt: 9178 slow
Worker-1 -> file10065.txt: 8545 slow
Worker-6 -> file10075.txt: 1878 slow
Worker-2 -> file10073.txt: 5329 slow
Worker-3 -> file10069.txt: 9670 slow
Worker-2 -> file1008.txt: 1391 slow
Worker-7 -> file10076.txt: 3807 slow
Worker-4 -> file10074.txt: 6655 slow
Worker-1 -> file10078.txt: 4035 slow
Worker-8 -> file10072.txt: 8661 slow
Worker-3 -> file10080.txt: 4150 slow
Worker-6 -> file10079.txt: 8344 slow
Worker-5 -> file10077.txt: 9072 slow
Worker-4 -> file10083.txt: 5365 slow
Worker-2 -> file10081.txt: 6335 slow
Worker-1 -> file10084.txt: 6257 slow
Worker-4 -> file10089.txt: 2992 slow
Worker-8 -> file10085.txt: 8135 slow
Worker-7 -> file10082.txt: 9804 slow
Worker-2 -> file1009.txt: 3889 slow
Worker-5 -> file10088.txt: 5528 slow
Worker-6 -> file10087.txt: 9013 slow
Worker-4 -> file10091.txt: 2709 slow
Worker-5 -> file10095.txt: 1551 slow
Worker-1 -> file10090.txt: 5891 slow
Worker-8 -> file10092.txt: 3985 slow
Worker-6 -> file10096.txt: 2854 slow
Worker-2 -> file10094.txt: 3977 slow
Worker-7 -> file10093.txt: 4674 slow
Worker-3 -> file10086.txt: 4747 slow
Worker-7 -> file10101.txt: 1044 slow
Worker-4 -> file10097.txt: 5166 slow
Worker-5 -> file10098.txt: 4320 slow
Worker-8 -> file101.txt: 4102 slow
Worker-1 -> file10099.txt: 5909 slow
Worker-6 -> file1010.txt: 7848 slow
Worker-3 -> file10102.txt: 4224 slow
Worker-8 -> file10106.txt: 1632 slow
Worker-4 -> file10104.txt: 2400 slow
Worker-4 -> file10110.txt: 1364 slow
Worker-1 -> file10107.txt: 2228 slow
Worker-2 -> file10100.txt: 7826 slow
Worker-7 -> file10103.txt: 8342 slow
Worker-2 -> file10113.txt: 2128 slow
Worker-8 -> file1011.txt: 4444 slow
Worker-5 -> file10105.txt: 7634 slow
Worker-1 -> file10112.txt: 3891 slow
Worker-3 -> file10109.txt: 7152 slow
Worker-4 -> file10111.txt: 5686 slow
Worker-2 -> file10115.txt: 2008 slow
Worker-7 -> file10114.txt: 2299 slow
Worker-6 -> file10108.txt: 8901 slow
Worker-6 -> file10122.txt: 1466 slow
Worker-1 -> file10118.txt: 2263 slow
Worker-4 -> file1012.txt: 2443 slow
Worker-6 -> file10123.txt: 2379 slow
Worker-3 -> file10119.txt: 4598 slow
Worker-5 -> file10117.txt: 8436 slow
Worker-4 -> file10125.txt: 5203 slow
Worker-6 -> file10126.txt: 8646 slow
Worker-7 -> file10121.txt: 8165 slow
Worker-2 -> file10120.txt: 8941 slow
Worker-8 -> file10116.txt: 9182 slow
Worker-3 -> file10127.txt: 4910 slow
Worker-1 -> file10124.txt: 8637 slow
Worker-6 -> file1013.txt: 8961 slow
Worker-5 -> file10128.txt: 8704 slow
Worker-3 -> file10133.txt: 6593 slow
Worker-4 -> file10129.txt: 8372 slow
Worker-7 -> file10130.txt: 7919 slow
Worker-6 -> file10135.txt: 4588 slow
Worker-2 -> file10131.txt: 8735 slow
Worker-8 -> file10132.txt: 8432 slow
Worker-6 -> file1014.txt: 3809 slow
Worker-8 -> file10141.txt: 1989 slow
Worker-1 -> file10134.txt: 9973 slow
Worker-3 -> file10137.txt: 4782 slow
